delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,390,4.1812,-1.6423,1.1653,-1.7143
pos,391,4.1907,-1.6386,1.1698,-1.7147
pos,392,4.2001,-1.6348,1.1742,-1.7151
pos,393,4.2093,-1.6307,1.1785,-1.7154
pos,394,4.2184,-1.6264,1.1828,-1.7158
pos,395,4.2274,-1.6219,1.1870,-1.7161
pos,396,4.2362,-1.6172,1.1912,-1.7164
pos,397,4.2448,-1.6122,1.1953,-1.7166
pos,398,4.2533,-1.6071,1.1993,-1.7169
pos,399,4.2617,-1.6017,1.2033,-1.7170
pos,400,4.2699,-1.5961,1.2072,-1.7172
pos,401,4.2780,-1.5903,1.2111,-1.7173
pos,402,4.2860,-1.5843,1.2149,-1.7174
pos,403,4.2938,-1.5780,1.2186,-1.7175
pos,404,4.3015,-1.5716,1.2223,-1.7175
pos,405,4.3090,-1.5649,1.2259,-1.7175
pos,406,4.3164,-1.5581,1.2295,-1.7175
pos,407,4.3237,-1.5510,1.2330,-1.7174
pos,408,4.3309,-1.5438,1.2365,-1.7173
pos,409,4.3379,-1.5363,1.2399,-1.7172
pos,410,4.3448,-1.5286,1.2432,-1.7171
pos,411,4.3516,-1.5207,1.2465,-1.7169
pos,412,4.3582,-1.5126,1.2498,-1.7167
pos,413,4.3648,-1.5043,1.2530,-1.7164
pos,414,4.3712,-1.4957,1.2562,-1.7162
pos,415,4.3775,-1.4870,1.2593,-1.7159
pos,416,4.3837,-1.4781,1.2624,-1.7155
pos,417,4.3898,-1.4690,1.2654,-1.7152
pos,418,4.3957,-1.4598,1.2684,-1.7148
pos,419,4.4016,-1.4503,1.2713,-1.7144
pos,420,4.4073,-1.4407,1.2742,-1.7140
pos,421,4.4129,-1.4308,1.2770,-1.7135
pos,422,4.4185,-1.4208,1.2798,-1.7130
pos,423,4.4239,-1.4106,1.2826,-1.7125
pos,424,4.4292,-1.4002,1.2853,-1.7120
pos,425,4.4344,-1.3895,1.2880,-1.7115
pos,426,4.4396,-1.3786,1.2907,-1.7109
pos,427,4.4446,-1.3675,1.2934,-1.7104
pos,428,4.4496,-1.3562,1.2960,-1.7098
pos,429,4.4545,-1.3447,1.2986,-1.7092
pos,430,4.4593,-1.3329,1.3012,-1.7086
pos,431,4.4641,-1.3208,1.3037,-1.7079
pos,432,4.4687,-1.3085,1.3062,-1.7073
pos,433,4.4733,-1.2960,1.3088,-1.7066
pos,434,4.4779,-1.2832,1.3113,-1.7059
pos,435,4.4824,-1.2702,1.3138,-1.7052
pos,436,4.4868,-1.2571,1.3162,-1.7045
pos,437,4.4911,-1.2439,1.3186,-1.7038
